triplet_id,language,category,flattening,cos_gap__E5-large,cos_gap__E5-multi,cos_gap__LaBSE,cos_gap__MiniLM-multi,cos_gap__TF-IDF,cos_gap__bge-m3,sim_anchor_far__E5-large,sim_anchor_far__E5-multi,sim_anchor_far__LaBSE,sim_anchor_far__MiniLM-multi,sim_anchor_far__TF-IDF,sim_anchor_far__bge-m3,sim_anchor_near__E5-large,sim_anchor_near__E5-multi,sim_anchor_near__LaBSE,sim_anchor_near__MiniLM-multi,sim_anchor_near__TF-IDF,sim_anchor_near__bge-m3
es_ser2_054,spanish,ser_vs_estar,partial,-0.0014295578002929688,-0.01671457290649414,-0.11110031604766846,-0.018646836280822754,-0.23980015011792422,0.0009737610816955566,0.9767308235168457,0.9942362308502197,0.9947739839553833,0.9827569127082825,0.9535152830255149,0.937904953956604,0.9753012657165527,0.9775216579437256,0.8836736679077148,0.9641100764274597,0.7137151329075907,0.9388787150382996
es_ser2_055,spanish,ser_vs_estar,partial,-0.012104153633117676,-0.01119762659072876,-0.08572185039520264,-0.02912384271621704,-0.01826181907898239,-0.018966853618621826,0.9940172433853149,0.9930059313774109,0.9910433292388916,0.9960996508598328,0.967779805177209,0.9934647083282471,0.9819130897521973,0.9818083047866821,0.905321478843689,0.9669758081436157,0.9495179860982266,0.9744978547096252
es_ser2_056,spanish,ser_vs_estar,partial,-0.030839145183563232,-0.03334391117095947,-0.20714253187179565,-0.13505303859710693,-0.2911869542071823,-0.12096047401428223,0.9931837916374207,0.9972265958786011,0.9967593550682068,0.9974897503852844,0.9505152731880828,0.9910044074058533,0.9623446464538574,0.9638826847076416,0.7896168231964111,0.8624367117881775,0.6593283189809005,0.870043933391571
es_ser2_057,spanish,ser_vs_estar,partial,-0.020773768424987793,-0.02292555570602417,-0.10827720165252686,-0.07279115915298462,-0.15714422574219322,-0.07933801412582397,0.9944698810577393,0.9939042329788208,0.9963068962097168,0.9860906004905701,0.9679958373348725,0.9893667101860046,0.9736961126327515,0.9709786772727966,0.8880296945571899,0.9132994413375854,0.8108516115926793,0.9100286960601807
es_ser2_058,spanish,ser_vs_estar,partial,-0.025231599807739258,-0.025619983673095703,-0.15009832382202148,-0.005069851875305176,-0.41492214857078846,-0.07555925846099854,0.9767856597900391,0.9947265386581421,0.9919509887695312,0.991512656211853,0.9523049509938427,0.9800939559936523,0.9515540599822998,0.9691065549850464,0.8418526649475098,0.9864428043365479,0.5373828024230543,0.9045346975326538
es_ser2_060,spanish,ser_vs_estar,partial,-0.014248132705688477,-0.0087965726852417,-0.05873990058898926,-0.02565300464630127,-0.015005468788560239,-0.01883089542388916,0.9980576634407043,0.9984661340713501,0.9974367618560791,0.9996390342712402,0.9743183144720765,0.9932001829147339,0.9838095307350159,0.9896695613861084,0.9386968612670898,0.973986029624939,0.9593128456835163,0.9743692874908447
es_ser2_061,spanish,ser_vs_estar,partial,-0.015295803546905518,-0.012099921703338623,-0.04871028661727905,-0.014340758323669434,-0.194315082994316,-0.03148341178894043,0.9969950914382935,0.9959011077880859,0.9974879026412964,0.9982558488845825,0.9731944445494778,0.9948669672012329,0.9816992878913879,0.9838011860847473,0.9487776160240173,0.9839150905609131,0.7788793615551618,0.9633835554122925
es_ser2_062,spanish,ser_vs_estar,partial,-0.013794541358947754,-0.02670961618423462,-0.11264598369598389,-0.05927234888076782,-0.35308508555686835,-0.04112732410430908,0.9942319393157959,0.9952432513237,0.9876124858856201,0.9832267165184021,0.9663568671406593,0.9839402437210083,0.9804373979568481,0.9685336351394653,0.8749665021896362,0.9239543676376343,0.6132717815837909,0.9428129196166992
es_ser2_063,spanish,ser_vs_estar,partial,-0.02770894765853882,-0.015171408653259277,-0.0773821473121643,-0.07732665538787842,-0.27945067966895754,-0.05593907833099365,0.9979410171508789,0.9973411560058594,0.9981381297111511,0.9983235597610474,0.9755326175123729,0.9957648515701294,0.9702320694923401,0.9821697473526001,0.9207559823989868,0.920996904373169,0.6960819378434153,0.9398257732391357
es_ser2_064,spanish,ser_vs_estar,partial,-0.005286514759063721,0.0013622045516967773,-0.09973186254501343,-0.011852741241455078,-0.016365824399408924,-0.009412646293640137,0.9880664348602295,0.9779027104377747,0.9471634030342102,0.9878212213516235,0.9716392711210522,0.9871090650558472,0.9827799201011658,0.9792649149894714,0.8474315404891968,0.9759684801101685,0.9552734467216433,0.977696418762207
es_ser2_065,spanish,ser_vs_estar,partial,-0.006160259246826172,-0.010896623134613037,-0.08062171936035156,-0.021220266819000244,-0.1361585117523202,-0.014912009239196777,0.9937766790390015,0.9967446327209473,0.99689781665802,0.9988822937011719,0.9730664913648742,0.9962632656097412,0.9876164197921753,0.9858480095863342,0.9162760972976685,0.9776620268821716,0.836907979612554,0.9813512563705444
