triplet_id,language,category,flattening,model,condition,sim_anchor_near,sim_anchor_far,cos_gap,correct
es_for_017,spanish,formality,strong,LaBSE,native,0.9610477685928345,0.9533323049545288,0.007715463638305664,1
es_gen_001,spanish,gender_agreement_adjectives,strong,LaBSE,native,0.9428942203521729,0.9725778102874756,-0.029683589935302734,0
es_gen_002,spanish,gender_agreement_adjectives,strong,LaBSE,native,0.9676547050476074,0.977541446685791,-0.009886741638183594,0
es_gen_003,spanish,gender_agreement_adjectives,strong,LaBSE,native,0.9008421897888184,0.9588105082511902,-0.057968318462371826,0
es_gen_004,spanish,gender_agreement_adjectives,strong,LaBSE,native,0.9712651968002319,0.9119665026664734,0.059298694133758545,1
es_gen_005,spanish,gender_agreement_adjectives,strong,LaBSE,native,0.9600048661231995,0.988030731678009,-0.02802586555480957,0
es_gen_006,spanish,gender_agreement_adjectives,strong,LaBSE,native,0.9185317754745483,0.9774600267410278,-0.05892825126647949,0
es_gen_007,spanish,gender_agreement_adjectives,strong,LaBSE,native,0.9731002449989319,0.9126269817352295,0.06047326326370239,1
es_gen_008,spanish,gender_agreement_adjectives,strong,LaBSE,native,0.690888524055481,0.9291736483573914,-0.2382851243019104,0
es_gen_009,spanish,gender_agreement_adjectives,strong,LaBSE,native,0.971523642539978,0.8946524858474731,0.07687115669250488,1
es_gen_010,spanish,gender_agreement_adjectives,strong,LaBSE,native,0.9129331111907959,0.9797723293304443,-0.06683921813964844,0
es_gen_011,spanish,gender_agreement_adjectives,strong,LaBSE,native,0.9135041236877441,0.990890383720398,-0.07738626003265381,0
es_gen_012,spanish,gender_agreement_adjectives,strong,LaBSE,native,0.8933391571044922,0.9780937433242798,-0.0847545862197876,0
es_gen_013,spanish,gender_agreement_adjectives,strong,LaBSE,native,0.9879016876220703,0.9916718602180481,-0.003770172595977783,0
es_gen_014,spanish,gender_agreement_adjectives,strong,LaBSE,native,0.9160488843917847,0.9852895736694336,-0.06924068927764893,0
es_gen_015,spanish,gender_agreement_adjectives,strong,LaBSE,native,0.9242085814476013,0.995641827583313,-0.07143324613571167,0
es_gen_016,spanish,gender_agreement_adjectives,strong,LaBSE,native,0.9782440662384033,0.9964389801025391,-0.018194913864135742,0
hi_kin2_001,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9830777645111084,0.9724032878875732,0.010674476623535156,1
hi_kin2_002,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9807113409042358,0.9418121576309204,0.03889918327331543,1
hi_kin2_003,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9127440452575684,0.925896406173706,-0.013152360916137695,0
hi_kin2_004,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9555257558822632,0.9403796195983887,0.015146136283874512,1
hi_kin2_005,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.955399215221405,0.890870213508606,0.06452900171279907,1
hi_kin2_006,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9800033569335938,0.9226316213607788,0.05737173557281494,1
hi_kin2_007,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9848398566246033,0.9536077976226807,0.031232059001922607,1
hi_kin2_008,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9476160407066345,0.9453471302986145,0.0022689104080200195,1
hi_kin2_009,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9674545526504517,0.9266990423202515,0.040755510330200195,1
hi_kin2_010,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9652825593948364,0.874653697013855,0.09062886238098145,1
